asin,title,imgUrl,productURL,stars,reviews,price,listPrice,isBestSeller,boughtInLastMonth,id,category_name
B0018CK0HC,Mammoth Flossy Chews Color 3 Knot Tug w/Mini Tennis Ball – Premium Cotton-Poly Tug Toy for Dogs – Interactive – Rope Dog Toy for Small Dogs - Mini 11”,https://m.media-amazon.com/images/I/61bAPvIJ0yL._AC_UL320_.jpg,https://www.amazon.com/dp/B0018CK0HC,4.3,0,4.47,6.99,False,900,180,Dog Supplies
B0925TBQKM,"2 Pack Cases with Screen Protector for Apple Watch Series 6 SE Series 5 Series 4 44mm, Shiny Hard Protective Snap on Cover (Gold+Silver)",https://m.media-amazon.com/images/I/61PwGzavLXS._AC_UL320_.jpg,https://www.amazon.com/dp/B0925TBQKM,4.3,0,9.99,0.0,False,0,68,Wearable Technology
B0CG22QXRL,Acrylic Halloween Hat Witch Earrings Dangle Pumpkin Broom Charms Gifts for Women Girls Party Favors Jewelry,https://m.media-amazon.com/images/I/61uNxORvruL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CG22QXRL,,0,8.99,0.0,False,0,95,Girls' Jewelry
B09NL1BSTC,"50mm Water Belt Magnet Scale ，Scale High Precision Horizontal Bubble Aluminium Case Bullseye Spirit Bubble Surface Level Round Inclinometers for Surveying Instruments and Tribrachs, (Without magnet)",https://m.media-amazon.com/images/I/61JMP+kVjiL._AC_UL320_.jpg,https://www.amazon.com/dp/B09NL1BSTC,5.0,0,12.99,0.0,False,0,213,Measuring & Layout
B0BDDDWHXG,Nekuma Replacement Vacuum Head Compatible with Dyson V7 V8 V10 V11 V15 Soft Roller Cleaner Head Hard Floor Attachment with LED Lights,https://m.media-amazon.com/images/I/71CBZLf8meL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BDDDWHXG,4.1,136,37.99,49.99,False,100,175,Vacuum Cleaners & Floor Care
B097NFYX23,Girls All Houses Crest Logo Tank Stripe Accent Pajama Nightgown,https://m.media-amazon.com/images/I/81Bzkwj4M4S._AC_UL320_.jpg,https://www.amazon.com/dp/B097NFYX23,4.7,98,18.95,0.0,False,0,91,Girls' Clothing
B000BQ7W9A,"Westinghouse Lighting, Clear 03974 300-watt Light Bulb, 1 Count (Pack of 1)",https://m.media-amazon.com/images/I/41xNKZ3tNfS._AC_UL320_.jpg,https://www.amazon.com/dp/B000BQ7W9A,4.3,94,8.44,9.38,False,0,206,Light Bulbs
B0C5H5YYGM,"USFOOK 1 Inch Curtain Rods 32 to 58 Inches (2.6-4.8ft), Telescoping Splicing Drapery Rods for Windows, Silver Decorative Translucent Finials",https://m.media-amazon.com/images/I/71AIxGYntkL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C5H5YYGM,4.6,181,19.99,0.0,False,600,165,Home Décor Products
B00I0RA582,"Rogz Glow in the Dark Reflective Cat Collar with Breakaway Clip and Removable Bell, fully adjustable to fit most breeds, Blue Floral Cat Design",https://m.media-amazon.com/images/I/71xZwjMz59L._AC_UL320_.jpg,https://www.amazon.com/dp/B00I0RA582,4.4,387,11.0,13.95,False,0,179,Cat Supplies
B0B973SHP4,"2-in-1 Charger Compatible with Garmin Vivoactive 4/4S/3, Fenix 5/5S/5X/6/6S/6X 7/7S/7X, Venu/Instinct/Forerunner 945 etc, 4ft USB Data Sync Replacement Charging Dock Station with Type C Cable",https://m.media-amazon.com/images/I/61RXg4JhckL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B973SHP4,,0,5.99,0.0,False,0,70,GPS & Navigation
B0BG2ZN47V,"GE 16 Pack LED 60W Equivalent Soft White A19 2700K Light Bulbs, (Soft White, 16 Pack)",https://m.media-amazon.com/images/I/71OxM-3M20L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BG2ZN47V,2.9,2,25.0,0.0,False,0,206,Light Bulbs
B096TW39JC,"Satin Print Fabric Cheetah Pattern for Craft and Decoration (1Yd, Pink&Black)",https://m.media-amazon.com/images/I/814AqaB8eqS._AC_UL320_.jpg,https://www.amazon.com/dp/B096TW39JC,4.3,0,9.99,0.0,False,0,7,Craft & Hobby Fabric
B0C27MQ8QF,"Roller Skates for Women and Men,Derby Roller Skates Professional Outdoor Indoor, Adjustable Four Wheel Senior Roller Skates",https://m.media-amazon.com/images/I/61kmK+f42YL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C27MQ8QF,4.7,0,28.99,0.0,False,0,231,"Tricycles, Scooters & Wagons"
